"","Behav","days.iqr","fix.iqr","hr.iqr","rad.iqr","rev.iqr","away.iqr","count"
"1","Moose Kill",38.25,29.25,126.5002,131.5,4,0.460416666666667,164
"2","Other",29,6,81.625,179.25,2,0.785714285714286,260
"3","Revisit",40.25,6,47.495,135,1,0.666666666666667,212
"4","Resting",22,6,48,171,1,0.585365853658537,385
"5","Scavenge",32,12,106.0007,174.75,3,0.759920634920635,196
"6","Probable Kill",27.75,6,67.5,166,1,0.689913127413128,230
"7","Calf Kill",33.5,17,95.00045,151.5,3,0.611111111111111,92
"8","Beaver Kill",28,8.5,60,157,2,0.69327731092437,175
"9","Deer Kill",17,11.25,88.5,162.75,1.25,0.599025974025974,48
"10","Den",65,67,385.9833,193,13,0.38471673254282,105
"11","Rendez-vous",51.75,62.75,342.879175,168,11.75,0.482957079152731,30
