"","Behaviour_1","fix.mean","fix.med","fix.min","fix.max","hr.mean","hr.med","hr.min","hr.max","rad.mean","rad.med","rad.min","rad.max","count"
"1","Kill",19.8260869565217,15,6,112,92.0597719063545,64,9.9833,714.0089,220.167224080268,222,10,490,299
"2","Resting",10.5405405405405,8,6,69,50.1217047297297,20.00695,9.9833,427.9925,151.02027027027,144,7,402,148
"3","Unknown",11.0361445783133,8,6,75,50.2163072289157,24,9.9961,255.9989,185.33734939759,179,27,497,83
"4","Revisit",15.2592592592593,10,6,80,59.3326518518519,24,9.9817,280,222.592592592593,201,104,397,27
"5","Probable kill",18.5945945945946,15,6,77,92.5942486486487,46.0167,9.9836,520.0006,218.216216216216,203,10,661,37
"6","Scavenge",16.7017543859649,11,6,57,116.875707017544,84,9.9964,980.0022,239.40350877193,244,23,506,57
"7","Den",83.5757575757576,54,6,275,389.5147,271.9922,35.9978,1244.0022,283.515151515152,292,80,473,33
"8","Rendez-vous",54.1774193548387,34.5,6,271,285.420437096774,180.9929,10,1402,292.983870967742,301,59,595,62
"9","Probable prey encounter",10.375,10.5,6,18,61.16725,26,10,204,155.75,162.5,11,353,24
"10","Scat",10.2857142857143,8,6,21,58.0095285714286,68,15.9967,118,215.142857142857,249,35,289,7
"11","Probable resting",10.5555555555556,9,6,29,59.2238555555556,43.99835,9.9986,142.0097,171.611111111111,169.5,23,333,18
