"","Behav","fix.mean","fix.med","fix.min","fix.max","hr.mean","hr.med","hr.min","hr.max","rad.mean","rad.med","rad.min","rad.max","count"
"1","Moose Kill",32.9935483870968,24,6,178,133.209867741935,95,9.9994,674,246.341935483871,261,12,479,155
"2","Other",16.4942084942085,11,6,94,98.0164864864865,74.0186,7.5,450,230.30888030888,230,14,513,259
"3","Revisit",13.3931623931624,10,6,72,63.7341632478632,26,7.5,480,188.811965811966,186,9,451,117
"4","Resting",13.0580912863071,9,6,115,61.6212721991701,31.9944,7.5,426,180.058091286307,173,2,479,241
"5","Probable Kill",12.6240601503759,10,6,73,66.0937992481203,28,7.5,436,202.187969924812,203,7,496,133
"6","Calf Kill",21.320987654321,16,6,72,82.8816654320988,70.0003,10,366,245.086419753086,242,9,439,81
"7","Beaver Kill",13.3716814159292,10,6,61,60.8712769911504,32,7.5,280.0167,176.345132743363,176,7,510,113
"8","Deer Kill",19.8372093023256,15,6,66,81.4222093023256,56,7.5,450,225.790697674419,219,22,523,43
"9","Den",62.1758241758242,34,6,260,318.676281318681,278,9.9833,1345.5,253.769230769231,261,29,489,91
"10","Rendez-vous",47.28,35,6,130,254.501768,224,10,656,279.8,285,69,488,25
