,effect,group,term,estimate,std.error,statistic,conf.low,conf.high,
1,fixed,NA,StudySiteRMNP,-10.90443572,27.87744282,-0.39115624,-65.54321963,43.73434818,"-10.904 (-65.543, 43.734)"
2,fixed,NA,StudySiteSEMB,4.346718694,2.919765629,1.488721783,-1.375916782,10.06935417,"4.347 (-1.376, 10.069)"
3,fixed,NA,log(Avg_Weight):StudySiteRMNP,0.738464517,0.149395347,4.943022209,0.445655018,1.031274016,"0.738 (0.446, 1.031)"
4,fixed,NA,log(Avg_Weight):StudySiteSEMB,0.673997634,0.072724199,9.267859171,0.531460823,0.816534444,"0.674 (0.531, 0.817)"
5,fixed,NA,StudySiteRMNP:moose_density_averaged,-0.637327004,1.309532911,-0.486682693,-3.203964346,1.929310338,"-0.637 (-3.204, 1.929)"
6,fixed,NA,StudySiteSEMB:moose_density_averaged,-4.645972604,3.854121187,-1.205455765,-12.19991132,2.907966115,"-4.646 (-12.2, 2.908)"
7,fixed,NA,StudySiteRMNP:lf_dens,-4.152165715,4.710656742,-0.881440942,-13.38488327,5.080551844,"-4.152 (-13.385, 5.081)"
8,fixed,NA,StudySiteSEMB:lf_dens,-2.316529983,0.805970668,-2.874211275,-3.896203466,-0.7368565,"-2.317 (-3.896, -0.737)"
9,fixed,NA,StudySiteRMNP:wolf_density,6.327870854,10.42750337,0.606844288,-14.1096602,26.7654019,"6.328 (-14.11, 26.765)"
10,fixed,NA,StudySiteSEMB:wolf_density,-0.709647463,1.439917773,-0.492838881,-3.531834438,2.112539512,"-0.71 (-3.532, 2.113)"
11,fixed,NA,StudySiteRMNP:pack_size,-0.273945073,0.208914882,-1.311276013,-0.683410718,0.135520571,"-0.274 (-0.683, 0.136)"
12,fixed,NA,StudySiteSEMB:pack_size,-0.250423536,0.096242336,-2.602010165,-0.439055047,-0.061792024,"-0.25 (-0.439, -0.062)"
13,fixed,NA,StudySiteRMNP:decmix,-2.932797774,6.092707106,-0.481362016,-14.87428427,9.008688721,"-2.933 (-14.874, 9.009)"
14,fixed,NA,StudySiteSEMB:decmix,1.898618209,2.302603876,0.824552685,-2.614402458,6.411638876,"1.899 (-2.614, 6.412)"
15,fixed,NA,StudySiteRMNP:SeasonSnow Free,1.056101013,0.339841519,3.107627981,0.390023876,1.722178151,"1.056 (0.39, 1.722)"
16,fixed,NA,StudySiteSEMB:SeasonSnow Free,0.280822103,0.253682874,1.106980929,-0.216387193,0.778031399,"0.281 (-0.216, 0.778)"
17,ran_pars,CollarID:PackID,sd__(Intercept),0.518236398,NA,NA,NA,NA,#VALUE!
18,ran_pars,PackID,sd__(Intercept),1.001906105,NA,NA,NA,NA,#VALUE!
19,ran_pars,Residual,sd__Observation,2.364604002,NA,NA,NA,NA,#VALUE!
