"","Behaviour_1","days.med","days.mean","days.min","days.max","days.sd","fix.med","fix.mean","fix.min","fix.max","fix.sd","hr.med","hr.mean","hr.min","hr.max","hr.sd","rad.med","rad.mean","rad.min","rad.max","rad.sd","rev.med","rev.mean","rev.min","rev.max","rev.sd","away.med","away.mean","away.min","away.max","away.sd","count","percent"
"1","Kill",-8,-12.8181818181818,-139,5,17.8890070877518,12,17.0137741046832,2,112,16.1982649580283,55.9831,80.8729774104683,1.9675,714.0089,89.9616623507305,202,198.798898071625,5,490,103.055157676092,2,2.37741046831956,0,19,2.73472390247408,0.47826087,0.430793565636364,0,0.942857143,0.291282186288532,363,34.2130065975495
"2","Resting",-9,-13.4029850746269,-63,7,13.278998119014,7,8.78606965174129,2,69,7.42960328517778,14.0003,40.5770407960199,1.9903,427.9925,60.2043573983223,121,133.601990049751,2,402,91.9139858564512,0,0.880597014925373,0,12,1.64489259278259,0,0.251016509174129,0,0.914893617,0.33057183018191,201,18.9443920829406
"3","Unknown",-14,-18.0859375,-59,7,15.479235440513,7,8.421875,2,75,8.43559142893404,16,38.3114390625,1.9972,255.9989,49.6459657524863,147,154.2578125,1,497,100.935876275914,0,0.9609375,0,9,1.44942206103799,0,0.267185772804688,0,0.93877551,0.34112661383982,128,12.0640904806786
"4","Revisit",0,-1.35416666666667,-42,20,13.7678156665083,6,10.0625,2,80,13.0537452846854,19.00125,44.7080541666667,1.995,280,60.3704647350749,188,174.541666666667,12,397,89.1286324396789,0,1,0,7,1.67586116319278,0,0.3022189801875,0,0.945054945,0.348484595790899,48,4.52403393025448
"5","Rendez-vous",-16.5,-19.3333333333333,-55,5,14.1544592955266,27.5,51.1060606060606,2,271,60.5190697950473,165,268.849371212121,5.9944,1402,295.270264675363,296.5,278.969696969697,52,595,116.199294277874,5,8.27272727272727,0,41,9.82233789269752,0.5615832615,0.527178539227273,0,0.896551724,0.228674922004226,66,6.2205466540999
"6","Probable kill",-11,-21,-62,0,18.6825710633858,8,14.1698113207547,2,77,14.0531078537216,36.0089,70.9049679245283,2,520.0006,105.977400811038,174,181.962264150943,6,661,132.039033020274,1,2,0,16,3.48623667496143,0.129032258,0.304464637301887,0,0.931818182,0.345488022690604,53,4.99528746465599
"7","Scavenge",-7,-18.7078651685393,-250,6,38.159117297059,8,11.9438202247191,2,57,12.174264538699,38,87.9308853932584,1.9833,980.0022,145.942518822098,184,197.674157303371,11,506,105.710773434028,1,2.47191011235955,0,20,3.50677878492126,0.428571429,0.44371986241573,0,0.941176471,0.372622358672727,89,8.38831291234684
"8","Den",-6,-10.6216216216216,-72,4,15.4782129160661,41,74.9189189189189,3,275,79.2879346217101,236,348.864381081081,4,1244.0022,343.63847694075,276,263.108108108108,30,473,120.337207643952,10,12.7027027027027,0,43,12.3149973268028,0.50209205,0.492775364081081,0,0.824742268,0.205536135626466,37,3.48727615457116
"9","Probable prey encounter",-11.5,-15.6666666666667,-59,0,15.9628634063592,7,7.5,2,18,4.23832686730818,19.9903,38.4293071428571,2,204,53.8010017047574,89.5,122.47619047619,11,353,87.4523530468234,0,0.952380952380952,0,7,1.6667828066387,0,0.25121280547619,0,0.894117647,0.343344081431005,42,3.95852968897267
"10","Scat",-5,-14,-43,-1,15.2690162467284,7,9.25,2,21,5.97016391256196,44.00835,51.506775,5.9875,118,41.1845400774108,225.5,204.125,35,289,87.1688632155182,1,2.125,0,5,1.88509188862809,0.5,0.51251088475,0,0.896551724,0.255773885921121,8,0.754005655042413
"11","Probable resting",-22,-22.92,-52,5,17.3611635554763,7,8.64,2,29,6.49923072370877,22,45.201544,2,142.0097,45.2395292806254,113,137.4,9,333,99.8732530093351,1,1.04,0,5,1.42828568570857,0.416666667,0.3518694746,0,0.87037037,0.354213908539202,25,2.35626767200754
"12","Probable scavenge",-22,-22,-22,-22,NA,3,3,3,3,NA,17.9931,17.9931,17.9931,17.9931,NA,179,179,179,179,NA,1,1,1,1,NA,0.666666667,0.666666667,0.666666667,0.666666667,NA,1,0.0942507068803016
