"","Behav","days.med","days.mean","days.min","days.max","days.sd","fix.med","fix.mean","fix.min","fix.max","fix.sd","hr.med","hr.mean","hr.min","hr.max","hr.sd","rad.med","rad.mean","rad.min","rad.max","rad.sd","rev.med","rev.mean","rev.min","rev.max","rev.sd","away.med","away.mean","away.min","away.max","away.sd","count","percent"
"1","Elk Kill",-10,-12.5671641791045,-46,0,11.0771726517864,11,15.6716417910448,3,41,9.54794608994044,60,72.1796119402985,4,204.0086,48.4078350438436,240,219.313432835821,30,430,87.4230759626105,2,2.44776119402985,0,8,1.79463495139661,0.5,0.47665514680597,0,0.923076923,0.264124779243199,67,6.31479736098021
"2","Resting",-9,-14.4557522123894,-63,7,14.0655698659487,7,8.76991150442478,2,69,7.31939141314361,14.0182,41.0886008849557,1.9903,427.9925,58.6707270618776,121,134.022123893805,2,402,92.6006692891707,0,0.898230088495575,0,12,1.62023220837206,0,0.262172810659292,0,0.914893617,0.333952233295636,226,21.3006597549482
"3","Other",-12,-18.0745341614907,-125,7,18.6680049801228,7,10.4037267080745,2,112,14.1476053106116,18.0081,52.0741906832298,1.9972,714.0089,93.7158940323624,155,160.453416149068,1,497,103.523665791364,1,1.4223602484472,0,18,2.58030945710199,0.166666667,0.314050921409938,0,0.93877551,0.33993903378623,161,15.1743638077286
"4","Beaver Kill",-15,-20.1111111111111,-55,-3,17.8420814167251,9.5,10.5,5,19,4.03295250187167,46.00375,62.8896444444444,10,252.0136,68.5990911785385,113,135.666666666667,10,327,89.3301872434015,1,2.05555555555556,0,9,2.99945528823881,0.4964157705,0.399233623055556,0,0.897727273,0.358695595766446,18,1.69651272384543
"5","Revisit",0,-1.35416666666667,-42,20,13.7678156665083,6,10.0625,2,80,13.0537452846854,19.00125,44.7080541666667,1.995,280,60.3704647350749,188,174.541666666667,12,397,89.1286324396789,0,1,0,7,1.67586116319278,0,0.3022189801875,0,0.945054945,0.348484595790899,48,4.52403393025448
"6","Moose Kill",-7,-12.4319526627219,-139,4,18.4693226110768,16,20.9940828402367,2,102,18.181458714011,68.0003,99.277524852071,1.9825,428,91.3893509786827,204,208.532544378698,5,490,101.187710734094,2,2.80473372781065,0,19,2.86039896174358,0.482758621,0.455985995982248,0,0.942857143,0.273447194134711,169,15.928369462771
"7","Rendez-vous",-16.5,-19.3333333333333,-55,5,14.1544592955266,27.5,51.1060606060606,2,271,60.5190697950473,165,268.849371212121,5.9944,1402,295.270264675363,296.5,278.969696969697,52,595,116.199294277874,5,8.27272727272727,0,41,9.82233789269753,0.5615832615,0.527178539227273,0,0.896551724,0.228674922004226,66,6.2205466540999
"8","Probable Kill",-11,-18.6421052631579,-62,0,17.6441876328394,7,11.2210526315789,2,77,11.3213965638862,20.0061,56.547307368421,2,520.0006,87.9683152275661,151,155.663157894737,6,661,117.738586249578,0,1.53684210526316,0,16,2.86508893447718,0,0.280921722178947,0,0.931818182,0.3437366694528,95,8.95381715362865
"9","Scavenge",-7,-18.7078651685393,-250,6,38.159117297059,8,11.9438202247191,2,57,12.174264538699,38,87.9308853932584,1.9833,980.0022,145.942518822098,184,197.674157303371,11,506,105.710773434028,1,2.47191011235955,0,20,3.50677878492126,0.428571429,0.44371986241573,0,0.941176471,0.372622358672727,89,8.38831291234684
"10","Den",-6,-10.6216216216216,-72,4,15.4782129160661,41,74.9189189189189,3,275,79.2879346217101,236,348.864381081081,4,1244.0022,343.63847694075,276,263.108108108108,30,473,120.337207643952,10,12.7027027027027,0,43,12.3149973268028,0.50209205,0.492775364081081,0,0.824742268,0.205536135626466,37,3.48727615457116
"11","Deer Kill",-5.5,-9.546875,-51,0,11.2277005624765,8,9.203125,2,26,5.31000758526347,22.0003,38.10834375,3.9833,122.0061,32.5945318214373,195,180.578125,18,471,101.380127774331,1,1.125,0,5,1.27864015067596,0.369318182,0.330666121625,0,0.935483871,0.31750854435654,64,6.0320452403393
"12","Calf Kill",-7,-13.1428571428571,-111,3,23.3608341338354,9,13.3333333333333,2,50,14.1114610630272,26.0108,53.4273476190476,1.9675,142,51.4015843941762,155,188.238095238095,24,473,131.805123102975,1,1.33333333333333,0,5,1.52752523165195,0.402777778,0.354096832714286,0,0.85106383,0.321435062695764,21,1.97926484448633
