,effect,group,term,estimate,std.error,statistic,conf.low,conf.high,
1,fixed,NA,log(Avg_Weight),0.689226652,0.065331174,10.54973616,0.561179903,0.8172734,"0.689 (0.561, 0.817)"
2,fixed,NA,moose_density_averaged,-0.561845563,0.852658027,-0.658934233,-2.233024587,1.109333461,"-0.562 (-2.233, 1.109)"
3,fixed,NA,lf_dens,-2.131577399,0.620730918,-3.433979746,-3.348187641,-0.914967156,"-2.132 (-3.348, -0.915)"
4,fixed,NA,pack_size,-0.251460759,0.078165275,-3.217039282,-0.404661882,-0.098259636,"-0.251 (-0.405, -0.098)"
5,fixed,NA,wolf_density,-0.241217064,1.313269332,-0.183676766,-2.815177657,2.332743528,"-0.241 (-2.815, 2.333)"
6,fixed,NA,decmix,0.891191128,1.623063055,0.549079794,-2.289954004,4.07233626,"0.891 (-2.29, 4.072)"
7,fixed,NA,SeasonSnow,1.243361302,3.358431706,0.370220809,-5.339043886,7.82576649,"1.243 (-5.339, 7.826)"
8,fixed,NA,SeasonSnow Free,1.810645754,3.372863841,0.536827408,-4.8000459,8.421337408,"1.811 (-4.8, 8.421)"
9,fixed,NA,StudySiteSEMB,1.883515615,1.431683521,1.315594953,-0.922532524,4.689563754,"1.884 (-0.923, 4.69)"
10,ran_pars,CollarID:PackID,sd__(Intercept),0.508566432,NA,NA,NA,NA,#VALUE!
11,ran_pars,PackID,sd__(Intercept),0.871574882,NA,NA,NA,NA,#VALUE!
12,ran_pars,Residual,sd__Observation,2.368899891,NA,NA,NA,NA,#VALUE!
