"","Behaviour_1","fix.mean","fix.med","fix.min","fix.max","hr.mean","hr.med","hr.min","hr.max","rad.mean","rad.med","rad.min","rad.max","count"
"1","Kill",21.484962406015,16,8,112,98.4357030075188,68,13.9953,714.0089,230.657894736842,232,23,490,266
"2","Resting",13.1777777777778,10,8,69,69.6674577777778,41,13.9936,427.9925,185.888888888889,184.5,9,402,90
"3","Unknown",13.2857142857143,9,8,75,60.8569732142857,34,13.9944,255.9989,206.839285714286,201.5,27,497,56
"4","Revisit",16.8695652173913,11,8,80,67.7392956521739,26,16,280,225.217391304348,206,104,397,23
"5","Probable kill",22.0344827586207,18,8,77,111.517931034483,62,14,520.0006,247.379310344828,240,43,661,29
"6","Den",86,56.5,10,275,398.87505625,289.9961,35.9978,1244.0022,285.71875,294,80,473,32
"7","Scavenge",19.4888888888889,14,8,57,135.820304444444,102,13.9964,980.0022,256.311111111111,270,40,506,45
"8","Rendez-vous",59.2678571428571,42,8,271,309.251282142857,197,22,1402,300.928571428571,318,59,595,56
"9","Probable prey encounter",11.6111111111111,11,8,18,68.6665166666667,26,15.9833,204,162.944444444444,162.5,37,353,18
"10","Scat",13.5,12.5,8,21,62.011675,75,15.9967,82.05,216.5,271,35,289,4
"11","Probable resting",13.0909090909091,10,8,29,68.9090363636364,60.0097,16,142.0097,179.727272727273,176,48,333,11
