"","Behav","fix.mean","fix.med","fix.min","fix.max","hr.mean","hr.med","hr.min","hr.max","rad.mean","rad.med","rad.min","rad.max","count"
"1","Elk Kill",18.0545454545455,15,8,41,77.3087272727273,70,18,204.0086,239.2,248,49,430,55
"2","Resting",13.1683168316832,10,8,69,69.5848574257426,42,13.9936,427.9925,185.217821782178,184,9,402,101
"3","Other",17.12,11,8,112,86.4808466666667,44,13.9944,714.0089,210.773333333333,206,27,497,75
"4","Moose Kill",25.3383458646617,18,8,102,115.066969924812,85.9914,17.9933,428,235.887218045113,228,28,490,133
"5","Revisit",16.8695652173913,11,8,80,67.7392956521739,26,16,280,225.217391304348,206,104,397,23
"6","Probable Kill",18.0425531914894,13,8,77,95.1067510638298,54.0036,14,520.0006,215.042553191489,202,37,661,47
"7","Beaver Kill",12.1538461538462,12,8,19,79.2319,60,14,252.0136,169.307692307692,169,23,327,13
"8","Den",86,56.5,10,275,398.87505625,289.9961,35.9978,1244.0022,285.71875,294,80,473,32
"9","Deer Kill",12.3783783783784,11,8,26,48.8100891891892,35.9833,13.9953,122.0061,222.918918918919,222,32,471,37
"10","Scavenge",19.4888888888889,14,8,57,135.820304444444,102,13.9964,980.0022,256.311111111111,270,40,506,45
"11","Calf Kill",19.2307692307692,13,8,50,73.9996692307692,79.9972,13.9975,142,232.153846153846,202,51,473,13
"12","Rendez-vous",59.2678571428571,42,8,271,309.251282142857,197,22,1402,300.928571428571,318,59,595,56
